Time,D1_PosX,D1_PosY,D1_PosZ,D1_VelX,D1_VelY,D1_VelZ,D1_Qw,D1_Qx,D1_Qy,D1_Qz,D1_RateP,D1_RateQ,D1_RateR,D2_PosX,D2_PosY,D2_PosZ,D2_VelX,D2_VelY,D2_VelZ,D2_Qw,D2_Qx,D2_Qy,D2_Qz,D2_RateP,D2_RateQ,D2_RateR
3.600000000000000422e-02,0.000000000000000000e+00,1.189968636414738951e-05,-1.082763392601916556e-02,0.000000000000000000e+00,-9.003980984596114028e-04,-5.697512835317052327e-01,9.999981893355566198e-01,1.902978092038547404e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.538920224142115711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.799999999999999906e-02,0.000000000000000000e+00,1.462957707602985022e-05,-1.199709421870331742e-02,0.000000000000000000e+00,-1.002764758970257474e-03,-5.997099329327399975e-01,9.999978844859782612e-01,2.056945205560936022e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.540428006262678784e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,1.776737249793990757e-05,-1.322646695377595848e-02,0.000000000000000000e+00,-1.108320778873318584e-03,-6.296642439618408416e-01,9.999975559145308779e-01,2.210919486390566704e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.539064696301827573e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000261e-02,0.000000000000000000e+00,2.134356294040471225e-05,-1.451574312247661848e-02,0.000000000000000000e+00,-1.216731807272684440e-03,-6.596140020012916105e-01,9.999972042399103422e-01,2.364637894835229081e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.535311717473326898e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.399999999999999745e-02,0.000000000000000000e+00,2.538858118174388946e-05,-1.586491327472087584e-02,0.000000000000000000e+00,-1.327685684632692658e-03,-6.895589926170374584e-01,9.999968301301950246e-01,2.517881961597433216e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.529579052707788767e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.599999999999999922e-02,0.000000000000000000e+00,2.993275866173553950e-05,-1.727396751952636408e-02,0.000000000000000000e+00,-1.440892183877353488e-03,-7.194990015418003537e-01,9.999964342855426347e-01,2.670471159024682094e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.522215550058720890e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000100e-02,0.000000000000000000e+00,3.500628923179476779e-05,-1.874289552546600651e-02,0.000000000000000000e+00,-1.556082409136828014e-03,-7.494338146609174078e-01,9.999960174241412370e-01,2.822257229115700261e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.513517752467703203e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,4.063919933303717931e-05,-2.027168652114290023e-02,0.000000000000000000e+00,-1.673007952310585217e-03,-7.793632180008461807e-01,9.999955802709593611e-01,2.973119331262907058e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.503737462774395184e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000455e-02,0.000000000000000000e+00,4.686132363664138894e-05,-2.186032929568234445e-02,0.000000000000000000e+00,-1.791439886167875330e-03,-8.092869977202047371e-01,9.999951235488709900e-01,3.122959892296159508e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.493088224776431827e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.399999999999999939e-02,0.000000000000000000e+00,5.370228532062044409e-05,-2.350881219923747767e-02,0.000000000000000000e+00,-1.911167655335273318e-03,-8.392049401031589362e-01,9.999946479717761738e-01,3.271701058181775926e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.481750875312307925e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
